"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"24/03/2025","1.590","1.585","1.620","1.535","47,00M","0,32%"
"21/03/2025","1.585","1.645","1.650","1.580","40,95M","-3,65%"
"20/03/2025","1.645","1.660","1.685","1.640","59,82M","-0,90%"
"19/03/2025","1.660","1.640","1.670","1.620","60,53M","1,53%"
"18/03/2025","1.635","1.660","1.670","1.545","72,95M","-1,21%"
"17/03/2025","1.655","1.620","1.690","1.615","101,97M","4,09%"
"14/03/2025","1.590","1.560","1.615","1.560","64,29M","3,58%"
"13/03/2025","1.535","1.550","1.570","1.520","47,35M","-0,65%"
"12/03/2025","1.545","1.545","1.585","1.530","66,40M","1,64%"
"11/03/2025","1.520","1.490","1.525","1.465","39,76M","2,01%"
"10/03/2025","1.490","1.600","1.610","1.475","102,65M","-8,59%"
"07/03/2025","1.630","1.625","1.655","1.615","36,73M","0,31%"
"06/03/2025","1.625","1.620","1.645","1.615","34,28M","0,31%"
"05/03/2025","1.620","1.545","1.630","1.545","64,90M","5,19%"
"04/03/2025","1.540","1.595","1.615","1.530","45,57M","-2,84%"
"03/03/2025","1.585","1.580","1.610","1.555","88,39M","0,00%"
"28/02/2025","1.585","1.615","1.615","1.505","88,55M","-2,46%"
"27/02/2025","1.625","1.630","1.650","1.610","44,54M","-0,31%"
"26/02/2025","1.630","1.635","1.640","1.605","51,47M","-0,31%"
"25/02/2025","1.635","1.650","1.665","1.600","60,92M","-0,30%"
"24/02/2025","1.640","1.630","1.675","1.630","52,46M","1,23%"
"21/02/2025","1.620","1.685","1.685","1.620","75,34M","-3,86%"
"20/02/2025","1.685","1.575","1.690","1.570","167,23M","6,98%"
"19/02/2025","1.575","1.565","1.595","1.560","64,35M","1,61%"
"18/02/2025","1.550","1.555","1.570","1.535","33,93M","-0,32%"
"17/02/2025","1.555","1.530","1.560","1.515","67,71M","1,63%"
"14/02/2025","1.530","1.475","1.535","1.475","121,04M","4,08%"
"13/02/2025","1.470","1.395","1.470","1.395","90,55M","5,38%"
"12/02/2025","1.395","1.405","1.405","1.380","33,27M","-0,36%"
"11/02/2025","1.400","1.405","1.420","1.380","52,51M","1,08%"
"10/02/2025","1.385","1.435","1.435","1.380","40,97M","-3,15%"
"07/02/2025","1.430","1.400","1.435","1.365","54,10M","2,14%"
"06/02/2025","1.400","1.450","1.455","1.385","60,11M","-3,45%"
"05/02/2025","1.450","1.410","1.450","1.395","87,36M","3,57%"
"04/02/2025","1.400","1.395","1.420","1.395","67,72M","1,45%"
"03/02/2025","1.380","1.395","1.405","1.355","49,11M","-0,72%"
"31/01/2025","1.390","1.405","1.420","1.385","61,88M","-0,36%"
"30/01/2025","1.395","1.490","1.490","1.385","92,86M","-6,38%"
"24/01/2025","1.490","1.490","1.505","1.475","19,56M","0,00%"
"23/01/2025","1.490","1.525","1.525","1.480","30,84M","-1,97%"
"22/01/2025","1.520","1.515","1.540","1.510","23,64M","0,66%"
"21/01/2025","1.510","1.510","1.525","1.500","22,00M","0,00%"
"20/01/2025","1.510","1.515","1.535","1.500","19,48M","-0,66%"
"17/01/2025","1.520","1.530","1.540","1.505","14,49M","0,00%"
"16/01/2025","1.520","1.535","1.550","1.510","32,75M","-0,65%"
"15/01/2025","1.530","1.520","1.530","1.505","28,12M","0,66%"
"14/01/2025","1.520","1.480","1.535","1.465","59,98M","2,70%"
"13/01/2025","1.480","1.475","1.495","1.455","40,84M","1,02%"
